Database, ID, Level, Product, Moduloe, Status, Synopsis
CR_SCADE,CR-13653,Minor,DISPLAY-IDE,Editor,CR_resolved,The Texture Table "Repeat" column title is truncated (to Rep...) on some machines 
CR_SCADE,CR-13665,Minor,SCADE A661,User Documentation,CR_reworked,Have a minimal explanation of A661 widgets in the User Documentation 
CR_SCADE,CR-13672,Minor,DISPLAY-IDE,Editor,CR_for_modification,Sometimes the Requirements Panel visibility is not in accordance with the Requirements Panel button state 
CR_SCADE,CR-13688,Minor,DISPLAY-IDE,Editor,CR_for_modification,Copy-paste of Reference or Nplicator loose the OGFX path and the parameter plugs 
CR_SCADE,CR-13732,Minor,SUITE-IDE,User Documentation,CR_entered,Add a Note about location of the Eclipse project 
CR_SCADE,CR-13742,Medium,DISPLAY-IDE,Editor,CR_for_modification,Abusive save of SGFX/OGFX files when modifying the traceability 
CR_SCADE,CR-13817,Minor,DISPLAY-IDE,Eclipse API,CR_resolved,Eclipse API for display is not listed  list features in "About Eclipse Features" window in Help>About 
CR_SCADE,CR-13851,Medium,DISPLAY-IDE,Editor,CR_resolved,Adding a rotation filter group can freeze IDE 
CR_SCADE,CR-13905,Minor,DISPLAY-IDE,Widget Library,CR_integrated,performance issue on slider 
CR_SCADE,CR-13911,Minor,DISPLAY-IDE,Editor,CR_for_modification,Bad cursor on Structure panel, Properties panel and menus 
CR_SCADE,CR-13918,Minor,SUITE-IDE,User Documentation,CR_entered,Add user information regarding Design Checker capabilities with  SCADE Suite TCL API  
CR_SCADE,CR-13925,Minor,SUITE-IDE,User Documentation,CR_entered,Rework part of SCADE Suite Eclipse API Installation 
CR_SCADE,CR-13930,Medium,DISPLAY-IDE,Editor,CR_resolved,Tooltip to resize object palette is not displayed 
CR_SCADE,CR-13938,Minor,SCADE Lifecycle,Reporter Display,CR_for_modification,Bi-font and Text object in OneCounter Example not generated correctly 
CR_SCADE,CR-13942,Minor,SUITE-IDE,User Documentation,CR_pre_entered,Startup page resources corresponding to the product can be installed although an SCADE product is not installed. 
CR_SCADE,CR-13943,Minor,SUITE-IDE,User Documentation,CR_pre_entered,Related page can not be displayed. 
CR_SCADE,CR-13968,Minor,DISPLAY-IDE,Editor,CR_resolved,Templates are missed when create new model 
CR_SCADE,CR-14000,Minor,SCADE System,User Documentation,CR_integrated,List all categories available for SCADE System ATY file 
CR_SCADE,CR-14099,Medium,DISPLAY-IDE,Editor,CR_for_modification,Imported code: cannot define parameter with variable size array type 
CR_SCADE,CR-14237,Minor,SUITE-IDE,User Documentation,CR_integrated,Provide location paths for .tot file for Windows 7 environment 
CR_SCADE,CR-14245,Medium,DISPLAY-IDE,Widget Library,CR_integrated,Combobox - When choosing one item, the items should be wrapped up. 
CR_SCADE,CR-14247,Medium,DISPLAY-IDE,Widget Library,CR_integrated,The Radiobox seems not able to choose one item  
CR_SCADE,CR-14295,Minor,DISPLAY-IDE,CG Integration,CR_entered,UDP communication is needed to integrate Display (or Suite + Display) pages 
CR_SCADE,CR-14375,Minor,SCADE Lifecycle,Reporter Display,CR_for_modification,Reporter generates empty image when Group contains invisible object 
CR_SCADE,CR-14388,Severe,SCADE Lifecycle,Reporter Display,CR_for_modification,Wrong images on objects which have textures 
CR_SCADE,CR-14457,Minor,DISPLAY-IDE,Editor,CR_for_analysis,When a line is focused on the data dictionnary, and the user presses up  or down, the focus goes somewhere else.  
CR_SCADE,CR-14462,Minor,DISPLAY-IDE,Editor,CR_for_modification,Auto completion does not work when you navigate using 'tab' key. 
CR_SCADE,CR-14484,Minor,SCADE Lifecycle,Reporter Display,CR_for_modification,Different screenshot is generated on a screenshot with font after reopen IDE 
CR_SCADE,CR-14493,Minor,SUITE-IDE,User Documentation,CR_entered,Model Storage (IO) diagram should be not referenced in the Scade Language Metamodels part. 
CR_SCADE,CR-14505,Severe,DISPLAY-IDE,Editor,CR_integrated,Freeze of SCADE Display when updating a specification 
CR_SCADE,CR-14525,Severe,DISPLAY-IDE,Editor,CR_for_analysis,Memory leak during SCADE Display batch updateSpecification command on huge model 
CR_SCADE,CR-14529,Medium,DISPLAY-IDE,Editor,CR_for_modification,Zoom in/out for value x4 does not center on selected object 
CR_SCADE,CR-14553,Minor,CVK,User Documentation,CR_entered,Remarks regarding content of Table A.1: C subset definition 
CR_SCADE,CR-14554,Minor,CVK,User Documentation,CR_entered,Add one section dedicated to C compiler Optimizations management in Ref Man 
CR_SCADE,CR-14567,Medium,DISPLAY-IDE,Editor,CR_for_analysis,SGFX contain Layer PGFX cannot be opened with other version. 
CR_SCADE,CR-14623,Minor,DISPLAY-IDE,Editor,CR_resolved,Modify "Active" property of Stencil mask to "Activity" 
CR_SCADE,CR-14624,Minor,DISPLAY-IDE,Editor,CR_resolved,No default value of Translate 
CR_SCADE,CR-14639,Minor,DISPLAY-IDE,Editor,CR_for_analysis,Support of point primitive 
CR_SCADE,CR-14686,Minor,SCADE System,User Documentation,CR_resolved,Add a Note for continuous creation of element from the palette 
CR_SCADE,CR-14696,Severe,DISPLAY-IDE,Editor,CR_resolved,Selecting any kind of container or reference primitive systematically sets haloing for next graphical primitive to TRUE 
CR_SCADE,CR-14697,Medium,DISPLAY-IDE,Editor,CR_for_modification,widget library template: texture table path shall use env var instead of being absolute 
CR_SCADE,CR-14698,Minor,SUITE-IDE,User Documentation,CR_resolved,SC-UM-6X: Missing hyperlink on Figure7.15 in Generating Reports about Model Comp.  
CR_SCADE,CR-14699,Minor,DISPLAY-IDE,Editor,CR_for_modification,Creating a new specification of type "Widget Library" should give access to all the object examples in the Palette 
CR_SCADE,CR-14705,Minor,DISPLAY-IDE,User Documentation,CR_resolved,The values of escape code for Rich Text should be easier to find 
CR_SCADE,CR-14709,Severe,DISPLAY-IDE,Editor,CR_for_modification,No means to detect that an OGFX model points to an unknown texture id 
CR_SCADE,CR-14714,Minor,DISPLAY-IDE,Editor,CR_for_modification,Wrong properties displayed after moving an object 
CR_SCADE,CR-14719,Medium,SCADE Lifecycle,Reporter Display,CR_for_analysis,Images of Nplicator objects are not generated in Report (HTML and RTF) 
CR_SCADE,CR-14729,Medium,DISPLAY-IDE,Editor,CR_for_modification,Structure Tree is renamed when a variable in the dictionnary is edited. 
CR_SCADE,CR-14732,Medium,DISPLAY-IDE,Editor,CR_for_analysis,Loss of data when using unicode characters 
